"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name"
"23","RT @OfficiaISwanson: RT for Ron Swanson
Like for Hillary Clinton https://t.co/PQseDYY1Mc",116,FALSE,FALSE,"697530324046213120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Feb 10 21:19:23 +0000 2016",NA,NA,"en",1,FALSE,NA,"3110814718","‚ô• Proud member of the Beyhive ‚ô• (also I love cats, pizza, makeup and anything pretty and pink)",FALSE,"Tue Mar 24 16:27:06 +0000 2015",777,103,4924,FALSE,NA,"Sara A",NA,"en",NA,96,"Sara_and_Hadia"
"25","RT @AdamSmith_USA: #BREAKING: Former White House press secretary says President Obama wants Hillary Clinton to win the election. https://t.‚Ä¶",14,FALSE,FALSE,"697530324574535682",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:19:23 +0000 2016",NA,NA,"en",6,FALSE,"Duarte,CA","41547329","#ImWithHer #Hillary2016 #Dodgers #Lakers #Raiders",FALSE,"Thu May 21 07:26:45 +0000 2009",652,78,1855,FALSE,NA,"DodgerGirlForLife",NA,"en",NA,233,"courtneyjeanh"
"44","RT @MaryBeforeJane: When Hillary Clinton said that #weed should only be available under ""appropriate circumstances""Ì†æÌ¥îÌ†ΩÌ∏íÌ†ΩÌ∏ñÌ†ΩÌ∏≠ https://t.co/m3ZMfW‚Ä¶",1330,FALSE,FALSE,"697530327896559616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:19:24 +0000 2016",NA,NA,"en",26,FALSE,"southern","30127898","Da my area",FALSE,"Fri Apr 10 01:51:51 +0000 2009",112977,2806,4085,FALSE,NA,"te' baby","Hawaii","en",-36000,1888,"tethegreat"
"98","RT @RaniaKhalek: How's it possible 4 Hillary Clinton to lose so badly yet leave New Hampshire w/ more delegates than Bernie Sanders? https:‚Ä¶",72,FALSE,FALSE,"697530337786785792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Feb 10 21:19:26 +0000 2016",NA,NA,"en",2,FALSE,"Budapest, Hungary","2725459661","Anti Fascist, 60s garage, pop, Northern soul,ska,new order,the stone roses etc, Acid House, underground Techno and Electro.Glasgow Celtic, NP",TRUE,"Sat Jul 26 18:03:28 +0000 2014",727,279,1149,FALSE,NA,"fidel sherman","Pacific Time (US & Canada)","en",-28800,922,"maudl1ncareer"
"104","RT @OfficiaISwanson: RT for Ron Swanson
Like for Hillary Clinton https://t.co/PQseDYY1Mc",117,FALSE,FALSE,"697530340236079104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:19:27 +0000 2016",NA,NA,"en",1,FALSE,NA,"409427517","ISU '18",FALSE,"Thu Nov 10 18:33:02 +0000 2011",3598,133,845,FALSE,NA,"Luke",NA,"en",NA,400,"lukerslivinlife"
"106","@GhostfaceKillah Legal Scholar Michelle Alexander Explains Why Hillary Clinton Doesn‚Äôt Deserve #BlackVote  #uspoli https://t.co/NeJC0ztLp7 ‚Ä¶",0,FALSE,FALSE,"697530340416610305","GhostfaceKillah","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:19:27 +0000 2016",NA,"16157577","en",6,FALSE,"Up Shit Creek wading thru Crap","56284648","^^^loathesome asshole! I Loathe #IdentityPolitics.FAME is the NEW LAME.Can UThink 4 URself",FALSE,"Mon Jul 13 04:18:11 +0000 2009",2779,323,432,FALSE,NA,"Toad Groan","Eastern Time (US & Canada)","en",-18000,450,"Frogspott"
"131","RT @KeaneBhatt: Expos√© on how State Dept's Philippe Reines &amp; @TheAtlantic's @marcambinder sold Hillary Clinton in the free press https://t.‚Ä¶",6,FALSE,FALSE,"697530345764343809",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:19:28 +0000 2016",NA,NA,"en",153,FALSE,NA,"2316065196",NA,FALSE,"Tue Jan 28 20:58:48 +0000 2014",69529,815,17940,FALSE,NA,"Jo Mirek","London","en",0,1434,"JosMirek"
"151","RT @KingBillyV: Long... but, a MUST READ!

Why Hillary Clinton Doesn‚Äôt Deserve the Black Vote via @thenation https://t.co/U5IJ6I0VyT",1,FALSE,FALSE,"697530350461845505",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:19:29 +0000 2016",NA,NA,"en",168,FALSE,"Surfside, California","2565984139","#BernieSanders2016   #FootSoldier",FALSE,"Fri Jun 13 21:49:40 +0000 2014",31784,1528,14274,FALSE,NA,"Avrilla",NA,"en",NA,1629,"Avrilla23"
"155","RT @MaryBeforeJane: When Hillary Clinton said that #weed should only be available under ""appropriate circumstances""Ì†æÌ¥îÌ†ΩÌ∏íÌ†ΩÌ∏ñÌ†ΩÌ∏≠ https://t.co/m3ZMfW‚Ä¶",1330,FALSE,FALSE,"697530350545690624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:19:29 +0000 2016",NA,NA,"en",0,FALSE,"Lebanon, PA","4190836499","cool, calm and collected",FALSE,"Sun Nov 15 02:43:24 +0000 2015",3261,232,1138,FALSE,NA,"Vic",NA,"en",NA,501,"toriadissinger"
"156","RT @RealJamesWoods: Hillary Clinton is in trouble | Newsday You think...? https://t.co/SFv7ir1z9z",60,FALSE,FALSE,"697530351338582016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Feb 10 21:19:29 +0000 2016",NA,NA,"en",129,FALSE,"Ashamed of my Government","166990045","#SelfDetermination, Unapologetic - Christian Charismatic. Capitalist, Patriot, Realistic, True North. No Porn,Proudly South African http://www.censorbugbear.org",FALSE,"Thu Jul 15 13:53:55 +0000 2010",55306,3765,16133,FALSE,NA,"Hein Huyser",NA,"en",NA,4088,"Saamprater"
"160","Hillary Clinton Calls on Social Media to Help with Fight Against ISIS #HelpwithSocialMedia https://t.co/1ItnTkMrUZ",0,FALSE,FALSE,"697530351900454913",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",FALSE,"Wed Feb 10 21:19:30 +0000 2016",NA,NA,"en",151,FALSE,"Stockton On Tees","93144422","Good Advertising Platform find me on rebelmouse http://www.rebelmouse.com/colinjeffrey",TRUE,"Sat Nov 28 08:15:27 +0000 2009",21830,1512,21,FALSE,"http://about.me/colinjeffrey","Colin Jeffrey","London","en",0,1983,"colinjeffrey1"
